Jour;Close
1;6715.42
2;6695.07
3;6638.85
4;6654.01
5;6567.37
6;6526.15
7;6407.46
8;6466.42
9;6516.65
10;6507.82
11;6503.72
12;6489.33
13;6523.53
14;6531.56
15;6524.36
16;6528.72
17;6589.79
18;6756.11
19;6748.86
20;6710.90
21;6617.15
22;6624.02
23;6612.24
24;6625.94
25;6658.97
26;6651.96
27;6483.43
28;6588.53
29;6613.75
30;6675.47
31;6650.88
32;6630.52
33;6719.13
34;6730.34
35;6725.60
36;6736.96
37;6761.47
38;6749.70
39;6803.61
40;6762.67
41;6779.68
42;6708.71
43;6726.10
44;6699.19
45;6712.89
46;6674.83
47;6740.59
48;6736.17
49;6772.12
50;6713.63
51;6737.30
52;6737.30
53;6737.30
54;6823.55
55;6885.32
56;6942.22
57;6915.75
58;6889.12
59;6890.49
60;6939.58
61;6983.50
62;7019.53
63;7000.08
64;6859.87
65;6895.29
66;6938.24
67;6938.56
68;6963.12
69;6944.97
70;6963.67
71;6961.48
72;6969.81
73;6923.17
74;7039.30
75;7076.17
76;7129.71
77;7123.68
78;6947.99
79;7004.63
80;6963.33
81;7043.61
82;7032.85
83;7034.24
84;6950.20
85;7019.79
86;7018.05
87;7051.59
88;7029.79
89;7026.93
90;7019.67
91;7022.61
92;7080.46
93;7108.00
94;7064.35
95;7069.04
96;7077.22
97;7095.09
98;7081.01
99;7088.18
100;7134.06
101;7146.68
102;7172.48
103;7184.95
104;7153.43
105;7017.47
106;7062.29
107;7090.01
108;7074.06
109;7109.97
110;7136.07
111;7072.97
112;7087.55
113;7037.47
114;7125.16
115;7123.27
116;7164.91
117;7100.88
118;7151.02
119;7030.66
120;7121.88
121;7125.42
122;7124.72
123;7091.19
124;7012.02
125;7008.09
126;6844.39
127;6881.13
128;6998.28
129;6968.30
130;7027.58
131;7025.43
132;6996.08
133;7016.63
134;7078.42
135;7032.30
136;7081.72
137;7105.72
138;7123.86
139;7120.43
140;7122.95
141;7132.30
142;7161.04
143;7220.14
144;7193.23
145;7218.71
146;7153.98
147;7181.11
148;7169.32
149;7058.86
150;7087.90
151;7109.02
152;7125.78
153;7150.12
154;7124.98
155;7148.01
156;7119.70
157;7149.84
158;7163.90
159;7138.35
160;7187.18
161;7149.37
162;7095.53
163;7024.21
164;7029.20
165;7068.43
166;7034.06
167;7016.49
168;7027.48
169;6963.64
170;6903.91
171;6980.98
172;7083.37
173;7078.35
174;7051.48
175;7063.40
176;7028.10
177;7108.16
178;7086.42
179;7027.07
180;7011.01
181;7077.10
182;6995.87
183;7078.04
184;7095.55
185;7146.85
186;7130.23
187;7141.82
188;7207.71
189;7234.03
190;7203.83
191;7217.53
192;7223.10
193;7190.30
194;7204.55
195;7222.82
196;7277.62
197;7253.27
198;7249.47
199;7237.57
200;7288.62
201;7274.81
202;7248.89
203;7279.91
204;7303.96
205;7300.40
206;7274.04
207;7340.15
208;7384.18
209;7347.91
210;7351.86
211;7326.97
212;7291.20
213;7255.96
214;7223.57
215;7255.46
216;7266.69
217;7286.32
218;7310.37
219;7044.03
220;7109.95
221;7059.45
222;7168.68
223;7129.21
224;7122.32
225;7232.28
226;7339.90
227;7337.05
228;7321.26
229;7291.78
230;7231.44
231;7218.64
232;7170.75
233;7260.61
234;7269.92
235;7198.03
236;7297.41
237;7341.66
238;7373.34
239;7372.10
240;7372.10
241;7372.10
242;7420.69
243;7403.01
244;7384.54
245;7505.15
246;7516.87
247;7450.37
248;7485.28
249;7445.25
250;7491.37
251;7551.72
252;7563.85
253;7542.95
254;7611.23
255;7563.55
256;7589.66
257;7585.01
